label,message
n,❗️Японские СМИ опубликовали кадры с моментом убийства экс-премьера Синдзо Абэ
n,"Согласно результатам исследования, почти половина респондентов признались, что благодаря играм нашли хорошего друга. Ещё 38% — подобрали партнёра по команде, а 18% даже удалось встретить в видеоигре любовь. При этом почти половина геймеров находят пару благодаря игре в одной команде, а для трети опрошенных встреча второй половинки оказалась абсолютной случайностью. В то же время 16% признались, что намеренно искали пару таким образом.   43% опрошенных заявили, что дружба в видеоиграх — весьма положительный опыт, из них почти половина ранее знакомились с теми, с кем поддерживают контакт до сих пор. В половине случаев общение не ограничивается Сетью, а переходит в офлайн: каждый пятый рассказал о регулярных встречах вне Интернета.  Наиболее популярными жанрами игр, в которых людям удаётся познакомиться с представителем противоположного пола, являются головоломки (21%), стратегии (19%), шутеры (14%) и MMORPG (11%)."
n,"Напитка станет как минимум на 5% меньше. Снижение покупательной способности, рост производственных издержек и экспортные трудности могут привести к тому, что в 2022 году рынок пива в России сократится. После наблюдавшегося в первом квартале ажиотажного спроса на фоне ожидаемого повышения цен начался спад продаж."
n,"44-летний житель Воркуты расклеивал в подъезде листовки, «дискредитирующие ВС РФ» и поплатился: на него донесли соседи. Теперь мужчине придётся выплатить штраф в 50 тысяч рублей."
n,На сегодняшний день так  выглядит Свято-Успенская Святогорская Лавра в Донецкой области.
n,"По статье 69 УК РСФР «Вредительство» могли посадить человека на 15 лет и конфисковать имущество. В некоторых случаях приговаривали к смертной казни. Национальный антикоррупционный комитет предложил вернуть статью, сообщили в Совфеде.  , — добавил сенатор Клишас."
n,"Байден, выступая с речью о правах женщин, решил зачитать всё с телесуфлера дословно."
n,"»  «Герб Харьковской области — золотой двуглавый орел с геральдическим щитом. Держава в левой лапе орла — это символ исторических корней Харьковской области, как неотъемлемой части русских земель», — сообщили во временной гражданской администрации (ВГА) области"
n,"В 2021 году женщины от 40 лет и старше родили больше 56 тысяч детей, что стало максимальным значением с 1990 года. Но самой активной с точки зрения абсолютных показателей деторождения является группа женщин, которым в 2021 году был 31 год. Средний возраст рождения первенца увеличился до 26 лет."
n," расторг сделку с  на  Причина — «существенное нарушение нескольких положений соглашения».  Ранее компания не смогла доказать, что количество спам-ботов среди зарегистрированных пользователей не превышает  Акции твиттера после новостей об отменённой сделке сразу же упали на "
n,«УралVагонZавод» показал отправку российским военным партию боевой техники с детскими открытками. В качестве бонуса — милый саундтрек на видео.
n,"По информации СК, число детских суицидов в 2021 году составило 753 случая. Это на 37,4% больше по сравнению с 2020 годом. Всего попыток суицида среди детей за последние три года стало больше почти на 13%, .  В докладе уполномоченной по правам ребёнка в РФ Марии Львовой-Беловой говорится о том, что причины, подталкивающие подростков к самоубийству, это в том числе «влияние соцсетей и возможность купить запрещённые препараты». А также: конфликты с родителями, психические расстройства, ссоры со сверстниками, недовольство внешностью, проблемы с обучением."
n,"Умер актёр сыгравший в  роль , друга главного героя. Ему было 79 лет.  F"
n,"В результате средние цены на них составили 109,3 тысячи рублей за квадратный метр. Больше всего за первое полугодие 2022 года подорожали новостройки в Челябинске (+35,8%), Кирове (+31,8%), Твери (+31,6%), Владикавказе (+31,1%), Рязани (+31,1%), Чите (+30,6%), Саратове (+27%), Барнауле (+26,8%) и Тольятти (+26,7%).   В Москве квадратный метр новых квартир подорожал на 7,7%, в Московской области - на 12,4%, в Санкт-Петербурге — на 13,5%. Динамичный рост был обеспечен в основном за счёт высоких показателей первого квартала, также эксперты предполагают, что цены во втором полугодии продолжат увеличиваться."
n,"Утренний Петербург, музей восковых фигур. Найди лишнего."
n,"Добрый день из Одессы: пока хозяин косплеит восковую фигуру, две собаки даром время не теряют."
n,Калининград не окажется в транспортной блокаде – глава Минтранса РФ
n,"Пострадали как минимум четыре человека, утверждается, что опасности для их жизни нет. Нападавшего уже задержали."
n,"Жители острова переживают самый тяжелый с момента обретения страной независимости экономический и политический кризис. В стране наблюдается сильный дефицит топлива. Кризис начался после сокращения туризма из-за коронавируса, что привело к нехватке иностранной валюты и невозможности закупить топливо."
n,"Путинне поедет на похороны экс-премьера Японии Абэ, сообщил Песков"
n,"Тэцуя Ямагами считал, что экс-премьер Японии причастен к этой организации. Его мать, будучи втянутой в эту секту, сделала значительное пожертвование, в результате чего жизнь семьи разрушилась, заявил убийца. О какой именно группировке идет речь, не уточняется."
n,❗️Премьер-министр Шри-Ланки созвал экстренное заседание лидеров партий в связи с проходящими в столице страны протестами
n,"!В Одессе продавец-херсонец отказался обслуживать на русском языке посетителя, представившегося военным, и потребовавшего не говорить с ним на украинской мове.  Кто прав?"
n,Протестующие купаются в бассейне президента Готабая Раджапакса в его захваченной резиденции
n,"Юлик изменил жене со стримершей Машей Мармарис, об этом сообщила сама Каплан. «Получилось как получилось. Я не выбираю, что чувствовать. Сказал день в день. Лучше так, чем врать», — ответил Юлик.  Звёздная пара встречалась более 6 лет и сыграла свадьбу в мае этого года. Также Юлика обвинили в изнасиловании модной исполнительницы lizzka, которая эмигрировала в США.  Если вы не понимаете, кто все эти лица и что здесь происходит, поздравляем, вы — бумер."
n,"Президент Шри Ланки, дворец которого захватили протестующие, пытается покинуть страну на самолёте   Полетит в Ростов?"
n,"Радиус поражения новых ракет большой дальности к РЗСО , которые США собираются поставить Украине"
n,"⚡️Полиция Шри-Ланки перестала избивать протестующих — местные СМИ  На видео протестующие вскрыли гараж с личной коллекцией автомобилей президента Шри-Ланки, убежавшего в аэропорт, и делают селфи во дворце."
n,"Появились извинения посетителя, который в Одессе поругался с продавцом из-за обслуживания на украинском языке.  Мужчина, как оказалось, не имел отношения к военнослужащим и работал охранником в магазине, но уже получил повестку и теперь готов «защищать батькивщину»."
n,"По данным МВД, более 250 тысяч собралось в Москве, а в Московской области на 57 площадках собралось более 154 тысяч верующих."
n,❗️ — мэр Тбилиси Каха Каладзе
n,"Массовая драка произошла на Москворецком рынке в столице, сообщают, что к инциденту привел конфликт между продавцом и покупателем"
n,"«С Россией стали считаться по-настоящему. », - Медведев"
n,"❗️ В результате были повреждены стёкла кабины машиниста, иных разрушений или пострадавших нет, заявил губернатор."
n,"Отметки пожаров системы Firms NASA, которая фиксирует масштабные возгорания. По очагам видна линия фронта."
n, село Суордах полностью затопило. Уровень воды в верховьях реки Дулгалах Верхоянского района резко поднялся после очередных обильных ливней.
n,"Ранее в сети распространились сообщения об убийце, которые иллюстрировались фотографиями Хидео Кодзимы, их даже показали некоторые СМИ. В студии заявили, что готовы обратиться в суд, чтобы пресечь клевету."
n,"При сливе топлива фура-газовоз сначала загорелась, а после взорвалась. По предварительным данным, пожар распространился на 100 квадратных метров, водитель и оператор заправочной станции получили ожоги рук.  Число пострадавших возросло до пяти человек, из них трое госпитализированы, в том числе один в тяжелом состоянии"
n,"Андрей Мельник, назвавший канцлера ФРГ «обиженной ливерной колбасой», уволен с поста посла Украины в Германии указом Зеленского — украинские СМИ"
n,"В финале она обыграла вторую ракетку мира Онс Жабер со счётом 3:6, 6:2, 6:2.  Елена Рыбакина родилась в Москве и выступала за Россию, но в 2018 году получила гражданство Казахстана и стала представлять эту страну.  Президент Казахстана Токаев в Твиттере поздравил Рыбакину с «грандиозным успехом»."
n,❗️Зеленский уволил 
n," собрала необходимые 25000 голосов, теперь её должен рассмотреть Зеленский.   Автор петиции отметила, что «сейчас каждый день может быть последним» и призвала дать людям одного пола «возможность создать семью и получить подтверждающий документ»."
n,", о состоянии самого главы кабмина не сообщается."
n,Подожжённая протестующими резиденция премьера Шри-Ланки.
n,"«Нужно до конца довести это дело, чтобы никаких фашистов, паразитов рядом с нами не было. Потому что потом дихлофоса не хватит! Когда у соседа полчища неонацистов 8 лет ведут братоубийственный геноцид, нам спокойно жить невозможно. Безразличие недопустимо!», — Талгат Таджуддин, верховный муфтий России, в проповеди в честь Курбан-байрама.  В тоже время, глава Духовного собрания мусульман России муфтий Альбир Крганов в своей проповеди в Москве заявил, что сегодня «весь мусульманский мир» поддерживает Россию и вместе с ней борется с «большим шайтаном»."
n,", сообщили СМИ со ссылкой на спикера парламента."
n,"Кассир магазина в Савёловском районе столицы продал алкоголь подросткам и получил штраф в 30 тысяч рублей. Платить его Николай Андропов не захотел и начал придумывать план мести: например, подумывал убить судью, который и назначил тот самый штраф. УК РФ продавцу читать было лень и он позвонил в полицию с вопросом «что будет, если убить судью?».  К сверхразуму моментально выехали психиатрическая бригада и силовики. Медики сказали, что мужчина адекватен, а полиция теперь проверяет его из-за угрозы убийством."
n,"  «Фокс (Константин Никитенко) — ездил по Мариуполю на БТР и постреливал по людям, по приколу, для смеха. <…> Фрост — автор канала „Танцуй-убивай“. Расстреливал пленных морпехов, глумился над телами», — утверждает Стешин.  Официально о вынесении смертных приговоров в ДНР не сообщалось."
n,", сообщает Deutsche Welle со ссылкой на представителей Социал-демократической партии Германии.  Издание пишет, что вещество, о котором сообщили женщины, присутствовавшие на летнем съезде партии в начале этой недели, было «похоже на рогипнол»."
n,"В Петербурге на матче за Суперкубок Би-2 со спартаковским шарфом, свист болельщиков (то ли за шарф, то ли за антивоенную позицию), слоганы: ЗАМИР, ЗАРОССИЮ, МЫВМЕСТЕ, МЫРОССИЯ.  Зенит выиграл у Спартака 4:0.  Ранее стало известно, что платёжная система «Мир» стала новым титульным спонсором футбольной Российской премьер-лиги."
n,". Местный шериф поблагодарил мужчину, который получил лицензию только прошлой осенью, за мужество и отсутствие пострадавших."
n,"Северная столица набрала 53%, а Москва — 50,7%. По подсчётам аналитического агентства к середине 2022 года, в мировом рейтинге Питер занял 279 место, Москва — 287. У Екатеринбурга 298 место, Казань на 300 строчке, Новосибирск — на 301.  Индекс стоимости жизни рассчитывается по Нью-Йорку, его показатели считаются за 100%. В него входит стоимость продуктов, ресторанов, коммунальных услуг и транспорта. В подсчётах не учитываются аренда или взносы по ипотеке.  Первое место заняла столица Бермуд Гамильтон — там индекс стоимости жизни составил 145,9%. Оставшиеся позиции в топ-10 заняли города Швейцарии."
n,"Эксперты отмечают, что мировой рынок видеоигр непрерывно рос с 2015 года, а с 2019 по 2021 годы сектор вырос на 26% из-за пандемии COVID-19. 2022 год будет для индустрии сложным — ожидается, что рынок просядет на 1,2%, до 188 миллиардов долларов, сообщает телеканал CNBC.  Одна из причин — «спецоперация» в Украине и решение компаний покинуть российский рынок. Канал сообщает, что Россия была 10-м по величине рынком игр в мире. Также на индустрии скажется кризис и рост цен."
n,"В Астрахани бегающий по городу козёл отбился от стаи голодных и озверевших бась, распространите.  Местные жители и очевидцы рассказывают, что козёл бегает по всему городу."
n,Китайцы в ночных клубах отмечают смерть японского экс-премьера Синдзо Абэ.   Японский политик за 3 месяца до смерти призвал США дать военные гарантии Тайваню.
n,Канада вернет Германии отремонтированную турбину Siemens для газопровода Северный поток — Reuters
n,"Пока молодые девушки дрались друг с другом и выясняли отношения, прибежал мужчина с ножом, пырнул одну из участниц конфликта несколько раз и ушёл. Девушки продолжили выяснять отношения, после чего ретировались с места происшествия, даже не вызвав скорую.  Жертва скончалась от потери крови.  : выяснилось, что девушка выжила."
n,"Би-2 заявили, что гонорар за выступление на Суперкубке в Петербурге отдадут на благотворительность."
n,"Дебошир пояснил, что его «психологически заставили» это сделать. Горожане предположили, что мужчина словил «белочку» на фоне алкоголизма. Полиция проводит проверку."
n,"Президент Шри-Ланки Готабая Раджапакса подписал приказ об ускоренном распределении газа на острове, который стал первым документом после захвата протестующими его резиденции — Newswire"
n,— заявил Трамп.
n,"В Риме несколько районов заволокло густым дымом из-за мощного пожара на востоке города в парке Ченточелле. Предварительно, никто не пострадал."
n,❗️Роскомнадзор по требованию Генпрокуратуры РФ ограничил доступ к сайту ежедневной германской газеты Die Welt.
n,"В остатках резиденции главы Шри-Ланки нашли 18 миллионов рупий (три миллиона рублей) наличными. Протестующие продолжают изучать то, что осталось от резиденции. Включая частный спортзал.   Полиция Шри-Ланки проводит расследование инцидента, связанного с поджогом, и уже задержала троих подозреваемых."
n,"Евросоюз построит в Брюсселе безопасный бункер стоимостью 8 миллионов евро, чтобы лидеры могли обсуждать секретную информацию без шпионов.  Там не будет интернета, а зал заседаний и кабинки переводчиков будут под специальным каркасом, который не пропускает электромагнитные и радиоволны."
n,Больше 20 людей пострадали в Испании за три дня забегов с быками. Там сейчас проводят традиционный фестиваль Сан-Фермин.
n,В Северной Каролине 26-летний вор  угнал  машины и  попал в аварию в ходе 
n,"Количество погибших под завалами увеличилось до 15 человек, 5 человек спасены, спасательные работы продолжаются, — ГСЧС Украины."
n,"Как утверждается, жительница Киева, выкрикивая лозунги в поддержку России, разбила лоток с игрушками, которые продавали дети для сбора средств для ВСУ.  Женщину в итоге облили краской."
n," произошел сильный природный пожар. Площадь возгорания составила уже более 2000 гектаров, причины пока неизвестны."
n,Спортсмены из России не смогут принять участие в чемпионате мира по легкой атлетике. 8 июля Международная ассоциация легкоатлетических федераций одобрила получение нейтрального статуса для российской команды и вскоре отозвала его из-за введенных антироссийских спортивных санкций.
n,"Глава Коми Владимир Уйба спел луганским старшеклассникам песню «Прекрасное далёко», а также сообщил, что «их фронт - учиться».  Школьникам на приёме подготовили интерактивную программу, музыкальные номера, угостили десертами и мороженым, а также предложили поступить в вузы республики после окончания школы.  «Дети из ЛНР поблагодарили за тёплый приём и позитивные впечатления от знакомства с Республикой Коми, которые останутся на всю жизнь», - сообщили местные СМИ."
n,Олег Тиньков после лейкоза
n,", — возмутился депутат горсовета Днепра Загид Краснов.    Кстати, зарплата украинки оказалась в 2,5 раза больше, чем у Зеленского — 68 600 гривен в месяц. Глава государства зарабатывает 28 тысяч гривен, отмечают СМИ. До вступления в должность Сергеева в течение трёх лет руководила ООО «Сервис Ревизор». Организация занималась предоставлением услуг салонам красоты."
n,"Снятся ли вам кошмары, когда закрытая комната заполняется водой, а вы не можете выбраться? Аналогичное ЧП произошло в столичном ЖК «Царицыно». .  Мужчина выбрался через час и, к счастью, не пострадал. Вероятной причиной стало короткое замыкание: его вызвала вода, попавшая в шахту лифта с паркинга."
n,"Росгидромет предупреждает о сохранении сильнейшей жары до 20:00 10 июля, сообщил научный руководитель Гидрометцентра России Роман Вильфанд."
n,Германия блокирует пакет помощи ЕС для Украины в 9 миллиардов евро — газета Corriere della Sera
n,".  В Подмосковье уже град, в столице всё только начинается — с юга наползает гигантская грозовая туча и сильные порывы ветра."
n,Уже как минимум три человека получили ранения. Их придавило деревьями.
n,"Из-за урагана упали деревья, есть пострадавшие. По прогнозам синоптиков, дождь в ближайшие два часа не прекратится."
n,"❗️Один человек погиб в результате ураганного ветра в Москве. Число пострадавших увеличилось до пяти человек.  На Украинском бульваре дерево упало на мужчину. Спасти его не удалось, он скончался на месте.  На Авангардной улице дерево упало на балкон многоэтажки, осколками стекла поранилась беременная женщина. Кроме того, зарегистрировано более 20 обращений из-за повреждённых автомобилей. Порывы ветра достигают 17 метров в секунду."
n,"После отбоя в лагере «Волжанка» посторонний пробрался в спальни к отряду, в котором были дети 9-10 лет. Сперва в комнате девочек мужчина начал кричать матом, расшвыривать одеяла, а одну из них начал обнимать и целовать, «приняв за свою дочь». После пошёл к мальчикам, где заставил их выстроиться по росту и чистить зубы.   Нескольких детей мужчина избил, а после скрылся. Сообщается, что преступника ищет полиция. К делу подключился СК."
n,. Пострадавший погиб на месте.
n,В Томске начинающий байкер что-то перепутал и в итоге оседлал припаркованный автомобиль.
n,"Вызов на улицу Дворецкую поступил в 00:40. Когда патрульные прибыли, вызвавший их мужчина сообщил, что в одной из частных усадеб оказывают услуги интимного характера.  Патрульные позвонили во входную дверь, но им никто не открыл. Ломиться туда не стали — не было правовых оснований для проникновения на территорию частного дома."
n,", — передаёт слова экс-президента Польши издание Le Figaro.   По словам лауреата Нобелевской премии мира, против России «должны восстать» 60 народов, которые были включены в её состав в ходе исторического процесса."
n,Кощунственная трата боеприпасов
n,"Министр транспорта Савельев сейчас ездит на корейском автомобиле марки Genesis. Он рассказал о неудачной попытке пересесть на «Волгу» и готов пересесть на Lada. Но только если их доработают.   », — заявил министр.  При этом он надеется, что «АвтоВАЗ» найдёт возможность производить автомобили с подушками безопасности."
n,Тубус ПТРК нашли в гараже у местного жителя ЛНР.  В хозяйстве пригодится.
n,"Сход лавины произошёл в тот момент, когда люди совершали переход через Джууку на хребте Терскей Ала-Тоо в горах Иссык-Кульской области. Они успели пройти участок, который буквально через 5 минут завалило ледовой массой."
